groupe;Intentions
hommes;1,099257849
hommes;2,578541823
hommes;1,595104322
hommes;2,943007994
hommes;2,7062769
hommes;3,100266232
hommes;1,606054627
hommes;2,59247657
hommes;1,724092622
hommes;2,076961712
hommes;1,442647105
hommes;1,087950562
hommes;3,183696404
hommes;2,131230684
hommes;2,754135966
hommes;0,7538086
hommes;2,92668734
hommes;0,855174035
hommes;2,041120782
hommes;2,381627398
hommes;1,482966085
hommes;1,757831522
hommes;2,053834706
hommes;2,22958879
hommes;1,410313411
hommes;2,424865793
hommes;2,239548757
hommes;1,589414855
hommes;1,604316956
hommes;2,428818693
hommes;1,592944015
hommes;2,450037648
hommes;2,910394448
hommes;1,968611623
hommes;1,434819292
hommes;1,19052835
hommes;1,080312798
hommes;1,143390005
hommes;1,383725007
hommes;1,400319874
hommes;1,36398662
hommes;2,065786093
hommes;1,63106141
hommes;0,651617201
hommes;1,682655682
hommes;2,119214931
hommes;0,734579809
hommes;0,896811871
hommes;1,357309301
hommes;2,609290834
hommes;1,99538274
hommes;1,601309105
hommes;1,866583949
hommes;1,570493392
hommes;0,700839306
hommes;1,545949446
hommes;2,207089108
hommes;2,89025074
hommes;1,597289626
hommes;1,452459576
hommes;1,461974691
hommes;1,613837931
hommes;1,219443006
hommes;1,353814722
hommes;1,264192404
hommes;1,87076104
hommes;1,734618369
hommes;1,332771383
hommes;1,51909813
hommes;1,770191518
hommes;1,765997097
hommes;2,192655237
hommes;2,49048085
hommes;2,040410263
hommes;2,560405536
hommes;3,081919757
hommes;3,025216772
hommes;2,454780232
hommes;1,823126806
hommes;2,208159715
hommes;2,126899267
hommes;2,960814225
hommes;1,979705141
hommes;2,307618939
hommes;2,067995795
hommes;1,916903295
hommes;2,719830087
hommes;2,796484372
hommes;1,463866904
hommes;2,334356167
hommes;2,24095007
hommes;1,56205042
hommes;2,335002711
hommes;2,335576489
hommes;2,242622403
hommes;2,947187393
hommes;1,979055521
hommes;1,298934509
hommes;2,004631212
hommes;1,96636736
hommes;2,143215541
hommes;2,173993584
hommes;1,158062888
hommes;2,586420656
hommes;3,620578002
hommes;1,8814992
hommes;1,830044891
hommes;2,291894523
hommes;1,624319904
hommes;1,621083416
hommes;1,949729382
hommes;1,698081956
hommes;1,713955487
hommes;1,692004069
hommes;1,999994708
hommes;0,818287623
hommes;2,124917187
hommes;1,961436764
hommes;2,407167651
hommes;2,191081016
femme_auto;1,575213368
femme_auto;0,906207786
femme_auto;1,970384232
femme_auto;1,614966668
femme_auto;0,418770616
femme_auto;1,164029112
femme_auto;0,773969936
femme_auto;2,676913719
femme_auto;2,008424891
femme_auto;2,075095163
