"pretest";"posttest";"methode"
8;7,42428175105353;"A"
9;12,2613934982597;"A"
13;14,9931675788247;"A"
9;11,3132979120551;"A"
7;10,3564135028409;"A"
7;7,6726010588114;"A"
7;9,78915519556313;"A"
8;13,0614330344736;"A"
12;13,8856495659889;"A"
8;7,4306548911449;"A"
9;14,1635035989893;"A"
12;16,7605781573524;"A"
5;10,4133392341406;"A"
9;11,8956397214105;"A"
6;7,87428478523235;"A"
7;14,171873034329;"B"
7;17,9179535721363;"B"
10;20,6315172256462;"B"
10;19,5578412955972;"B"
7;12,9360197926890;"B"
6;12,3568710082421;"B"
8;16,0454455224840;"B"
6;13,6169550689321;"B"
4;7,4576564591536;"B"
6;17,4981827865649;"B"
11;23,4466414604284;"B"
8;16,3157527479186;"B"
14;26,0998967568343;"B"
9;17,8682074017513;"B"
7;14,8852580450052;"B"
